message_text,cleaned_message_text,unigram_bigram_ready_text,annotation_count,risk_categories_present,suspicious_phrases_json,label,label_name,scam_subtype,source_name,source_url,data_origin_type,is_synthetic,split,message_length_characters,message_length_words,cleaned_token_count,digit_count,exclamation_mark_count,contains_url_like_text,contains_phone_number_like_text
Ü eatin later but i'm eatin wif my frens now lei... Ü going home first?,eatin later but i'm eatin wif my frens now lei going home first,eatin later but i'm eatin wif my frens now lei going home first eatin_later later_but but_i'm i'm_eatin eatin_wif wif_my my_frens frens_now now_lei lei_going going_home home_first,0,,[],0,safe,none,uc_irvine_sms_spam_collection,https://archive.ics.uci.edu/dataset/228/sms+spam+collection,downloadable_dataset,False,train,71,15,13,0,0,0,0
But you were together so you should be thinkin about him,but you were together so you should be thinkin about him,but you were together so you should be thinkin about him but_you you_were were_together together_so so_you you_should should_be be_thinkin thinkin_about about_him,0,,[],0,safe,none,uc_irvine_sms_spam_collection,https://archive.ics.uci.edu/dataset/228/sms+spam+collection,downloadable_dataset,False,train,56,11,11,0,0,0,0
Pansy! You've been living in a jungle for two years! Its my driving you should be more worried about!,pansy you've been living in a jungle for two years its my driving you should be more worried about,pansy you've been living in a jungle for two years its my driving you should be more worried about pansy_you've you've_been been_living living_in in_a a_jungle jungle_for for_two two_years years_its its_my my_driving driving_you you_should should_be be_more more_worried worried_about,0,,[],0,safe,none,uc_irvine_sms_spam_collection,https://archive.ics.uci.edu/dataset/228/sms+spam+collection,downloadable_dataset,False,train,101,19,19,0,3,0,0
Asking do u knw them or nt? May be ur frnds or classmates?,asking do u knw them or nt may be ur frnds or classmates,asking do u knw them or nt may be ur frnds or classmates asking_do do_u u_knw knw_them them_or or_nt nt_may may_be be_ur ur_frnds frnds_or or_classmates,0,,[],0,safe,none,uc_irvine_sms_spam_collection,https://archive.ics.uci.edu/dataset/228/sms+spam+collection,downloadable_dataset,False,train,58,13,13,0,0,0,0
New TEXTBUDDY Chat 2 horny guys in ur area 4 just 25p Free 2 receive Search postcode or at gaytextbuddy.com. TXT ONE name to 89693,new textbuddy chat 2 horny guys in ur area 4 just 25p free 2 receive search postcode or at gaytextbuddy com txt one name to 89693,new textbuddy chat 2 horny guys in ur area 4 just 25p free 2 receive search postcode or at gaytextbuddy com txt one name to 89693 new_textbuddy textbuddy_chat chat_2 2_horny horny_guys guys_in in_ur ur_area area_4 4_just just_25p 25p_free free_2 2_receive receive_search search_postcode postcode_or or_at at_gaytextbuddy gaytextbuddy_com com_txt txt_one one_name name_to to_89693,0,,[],1,scam,general_scam,uc_irvine_sms_spam_collection,https://archive.ics.uci.edu/dataset/228/sms+spam+collection,downloadable_dataset,False,train,130,25,26,10,0,0,0
Doing project w frens lor.,doing project w frens lor,doing project w frens lor doing_project project_w w_frens frens_lor,0,,[],0,safe,none,uc_irvine_sms_spam_collection,https://archive.ics.uci.edu/dataset/228/sms+spam+collection,downloadable_dataset,False,train,26,5,5,0,0,0,0
"Are you sure you don't mean ""get here, we made you hold all the weed""",are you sure you don't mean get here we made you hold all the weed,are you sure you don't mean get here we made you hold all the weed are_you you_sure sure_you you_don't don't_mean mean_get get_here here_we we_made made_you you_hold hold_all all_the the_weed,0,,[],0,safe,none,uc_irvine_sms_spam_collection,https://archive.ics.uci.edu/dataset/228/sms+spam+collection,downloadable_dataset,False,train,69,15,15,0,0,0,0
Free any day but i finish at 6 on mon n thurs...,free any day but i finish at 6 on mon n thurs,free any day but i finish at 6 on mon n thurs free_any any_day day_but but_i i_finish finish_at at_6 6_on on_mon mon_n n_thurs,0,,[],0,safe,none,uc_irvine_sms_spam_collection,https://archive.ics.uci.edu/dataset/228/sms+spam+collection,downloadable_dataset,False,train,48,12,12,1,0,0,0
In xam hall boy asked girl Tell me the starting term for dis answer I can den manage on my own After lot of hesitation n lookin around silently she said THE! intha ponnungale ipaditan;),in xam hall boy asked girl tell me the starting term for dis answer i can den manage on my own after lot of hesitation n lookin around silently she said the intha ponnungale ipaditan,in xam hall boy asked girl tell me the starting term for dis answer i can den manage on my own after lot of hesitation n lookin around silently she said the intha ponnungale ipaditan in_xam xam_hall hall_boy boy_asked asked_girl girl_tell tell_me me_the the_starting starting_term term_for for_dis dis_answer answer_i i_can can_den den_manage manage_on on_my my_own own_after after_lot lot_of of_hesitation hesitation_n n_lookin lookin_around around_silently silently_she she_said said_the the_intha intha_ponnungale ponnungale_ipaditan,0,,[],0,safe,none,uc_irvine_sms_spam_collection,https://archive.ics.uci.edu/dataset/228/sms+spam+collection,downloadable_dataset,False,train,185,35,35,0,1,0,0
Yup i shd haf ard 10 pages if i add figures... Ü all got how many pages?,yup i shd haf ard 10 pages if i add figures all got how many pages,yup i shd haf ard 10 pages if i add figures all got how many pages yup_i i_shd shd_haf haf_ard ard_10 10_pages pages_if if_i i_add add_figures figures_all all_got got_how how_many many_pages,0,,[],0,safe,none,uc_irvine_sms_spam_collection,https://archive.ics.uci.edu/dataset/228/sms+spam+collection,downloadable_dataset,False,train,72,17,16,2,0,0,0
U repeat e instructions again. Wat's e road name of ur house?,u repeat e instructions again wat's e road name of ur house,u repeat e instructions again wat's e road name of ur house u_repeat repeat_e e_instructions instructions_again again_wat's wat's_e e_road road_name name_of of_ur ur_house,0,,[],0,safe,none,uc_irvine_sms_spam_collection,https://archive.ics.uci.edu/dataset/228/sms+spam+collection,downloadable_dataset,False,train,61,12,12,0,0,0,0
You should get more chicken broth if you want ramen unless there's some I don't know about,you should get more chicken broth if you want ramen unless there's some i don't know about,you should get more chicken broth if you want ramen unless there's some i don't know about you_should should_get get_more more_chicken chicken_broth broth_if if_you you_want want_ramen ramen_unless unless_there's there's_some some_i i_don't don't_know know_about,0,,[],0,safe,none,uc_irvine_sms_spam_collection,https://archive.ics.uci.edu/dataset/228/sms+spam+collection,downloadable_dataset,False,train,90,17,17,0,0,0,0
FREE>Ringtone! Reply REAL or POLY eg REAL1 1. PushButton 2. DontCha 3. BabyGoodbye 4. GoldDigger 5. WeBeBurnin 1st tone FREE and 6 more when u join for £3/wk,free ringtone reply real or poly eg real1 1 pushbutton 2 dontcha 3 babygoodbye 4 golddigger 5 webeburnin 1st tone free and 6 more when u join for 3 wk,free ringtone reply real or poly eg real1 1 pushbutton 2 dontcha 3 babygoodbye 4 golddigger 5 webeburnin 1st tone free and 6 more when u join for 3 wk free_ringtone ringtone_reply reply_real real_or or_poly poly_eg eg_real1 real1_1 1_pushbutton pushbutton_2 2_dontcha dontcha_3 3_babygoodbye babygoodbye_4 4_golddigger golddigger_5 5_webeburnin webeburnin_1st 1st_tone tone_free free_and and_6 6_more more_when when_u u_join join_for for_3 3_wk,0,,[],1,scam,general_scam,uc_irvine_sms_spam_collection,https://archive.ics.uci.edu/dataset/228/sms+spam+collection,downloadable_dataset,False,train,157,28,30,9,1,0,0
Ho ho - big belly laugh! See ya tomo,ho ho big belly laugh see ya tomo,ho ho big belly laugh see ya tomo ho_ho ho_big big_belly belly_laugh laugh_see see_ya ya_tomo,0,,[],0,safe,none,uc_irvine_sms_spam_collection,https://archive.ics.uci.edu/dataset/228/sms+spam+collection,downloadable_dataset,False,train,36,9,8,0,1,0,0
No plans yet. What are you doing ?,no plans yet what are you doing,no plans yet what are you doing no_plans plans_yet yet_what what_are are_you you_doing,0,,[],0,safe,none,uc_irvine_sms_spam_collection,https://archive.ics.uci.edu/dataset/228/sms+spam+collection,downloadable_dataset,False,train,34,8,7,0,0,0,0
Right it wasnt you who phoned it was someone with a number like yours!,right it wasnt you who phoned it was someone with a number like yours,right it wasnt you who phoned it was someone with a number like yours right_it it_wasnt wasnt_you you_who who_phoned phoned_it it_was was_someone someone_with with_a a_number number_like like_yours,0,,[],0,safe,none,uc_irvine_sms_spam_collection,https://archive.ics.uci.edu/dataset/228/sms+spam+collection,downloadable_dataset,False,train,70,14,14,0,1,0,0
Got smaller capacity one? Quite ex...,got smaller capacity one quite ex,got smaller capacity one quite ex got_smaller smaller_capacity capacity_one one_quite quite_ex,0,,[],0,safe,none,uc_irvine_sms_spam_collection,https://archive.ics.uci.edu/dataset/228/sms+spam+collection,downloadable_dataset,False,train,37,6,6,0,0,0,0
Hey morning what you come to ask:-) pa...,hey morning what you come to ask pa,hey morning what you come to ask pa hey_morning morning_what what_you you_come come_to to_ask ask_pa,0,,[],0,safe,none,uc_irvine_sms_spam_collection,https://archive.ics.uci.edu/dataset/228/sms+spam+collection,downloadable_dataset,False,train,41,8,8,0,0,0,0
Dont talk to him ever ok its my word.,dont talk to him ever ok its my word,dont talk to him ever ok its my word dont_talk talk_to to_him him_ever ever_ok ok_its its_my my_word,0,,[],0,safe,none,uc_irvine_sms_spam_collection,https://archive.ics.uci.edu/dataset/228/sms+spam+collection,downloadable_dataset,False,train,37,9,9,0,0,0,0
K.k.how is your business now?,k k how is your business now,k k how is your business now k_k k_how how_is is_your your_business business_now,0,,[],0,safe,none,uc_irvine_sms_spam_collection,https://archive.ics.uci.edu/dataset/228/sms+spam+collection,downloadable_dataset,False,train,29,5,7,0,0,0,0
I'm on the bus. Love you,i'm on the bus love you,i'm on the bus love you i'm_on on_the the_bus bus_love love_you,0,,[],0,safe,none,uc_irvine_sms_spam_collection,https://archive.ics.uci.edu/dataset/228/sms+spam+collection,downloadable_dataset,False,train,24,6,6,0,0,0,0
"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16",your free ringtone is waiting to be collected simply text the password mix to 85069 to verify get usher and britney fml po box 5249 mk17 92h 450ppw 16,your free ringtone is waiting to be collected simply text the password mix to 85069 to verify get usher and britney fml po box 5249 mk17 92h 450ppw 16 your_free free_ringtone ringtone_is is_waiting waiting_to to_be be_collected collected_simply simply_text text_the the_password password_mix mix_to to_85069 85069_to to_verify verify_get get_usher usher_and and_britney britney_fml fml_po po_box box_5249 5249_mk17 mk17_92h 92h_450ppw 450ppw_16,0,,[],1,scam,account_verification,uc_irvine_sms_spam_collection,https://archive.ics.uci.edu/dataset/228/sms+spam+collection,downloadable_dataset,False,train,158,29,29,18,0,0,0
"No i'm not. I can't give you everything you want and need. You actually could do better for yourself on yor own--you've got more money than i do. I can't get work, i can't get a man, i can't pay the rent, i can't even fill my fucking gas tank. yes, i'm stressed and depressed. I didn't even call home for thanksgiving cuz i'll have to tell them i,m up to nothing.",no i'm not i can't give you everything you want and need you actually could do better for yourself on yor own you've got more money than i do i can't get work i can't get a man i can't pay the rent i can't even fill my fucking gas tank yes i'm stressed and depressed i didn't even call home for thanksgiving cuz i'll have to tell them i m up to nothing,no i'm not i can't give you everything you want and need you actually could do better for yourself on yor own you've got more money than i do i can't get work i can't get a man i can't pay the rent i can't even fill my fucking gas tank yes i'm stressed and depressed i didn't even call home for thanksgiving cuz i'll have to tell them i m up to nothing no_i'm i'm_not not_i i_can't can't_give give_you you_everything everything_you you_want want_and and_need need_you you_actually actually_could could_do do_better better_for for_yourself yourself_on on_yor yor_own own_you've you've_got got_more more_money money_than than_i i_do do_i i_can't can't_get get_work work_i i_can't can't_get get_a a_man man_i i_can't can't_pay pay_the the_rent rent_i i_can't can't_even even_fill fill_my my_fucking fucking_gas gas_tank tank_yes yes_i'm i'm_stressed stressed_and and_depressed depressed_i i_didn't didn't_even even_call call_home home_for for_thanksgiving thanksgiving_cuz cuz_i'll i'll_have have_to to_tell tell_them them_i i_m m_up up_to to_nothing,0,,[],0,safe,none,uc_irvine_sms_spam_collection,https://archive.ics.uci.edu/dataset/228/sms+spam+collection,downloadable_dataset,False,train,363,72,74,0,0,0,0
Lol boo I was hoping for a laugh,lol boo i was hoping for a laugh,lol boo i was hoping for a laugh lol_boo boo_i i_was was_hoping hoping_for for_a a_laugh,0,,[],0,safe,none,uc_irvine_sms_spam_collection,https://archive.ics.uci.edu/dataset/228/sms+spam+collection,downloadable_dataset,False,train,32,8,8,0,0,0,0
When can ü come out?,when can come out,when can come out when_can can_come come_out,0,,[],0,safe,none,uc_irvine_sms_spam_collection,https://archive.ics.uci.edu/dataset/228/sms+spam+collection,downloadable_dataset,False,train,20,5,4,0,0,0,0
It took Mr owl 3 licks,it took mr owl 3 licks,it took mr owl 3 licks it_took took_mr mr_owl owl_3 3_licks,0,,[],0,safe,none,uc_irvine_sms_spam_collection,https://archive.ics.uci.edu/dataset/228/sms+spam+collection,downloadable_dataset,False,train,22,6,6,1,0,0,0
U r too much close to my heart. If u go away i will be shattered. Plz stay with me.,u r too much close to my heart if u go away i will be shattered plz stay with me,u r too much close to my heart if u go away i will be shattered plz stay with me u_r r_too too_much much_close close_to to_my my_heart heart_if if_u u_go go_away away_i i_will will_be be_shattered shattered_plz plz_stay stay_with with_me,0,,[],0,safe,none,uc_irvine_sms_spam_collection,https://archive.ics.uci.edu/dataset/228/sms+spam+collection,downloadable_dataset,False,train,83,20,20,0,0,0,0
Oh gei. That happend to me in tron. Maybe ill dl it in 3d when its out,oh gei that happend to me in tron maybe ill dl it in 3d when its out,oh gei that happend to me in tron maybe ill dl it in 3d when its out oh_gei gei_that that_happend happend_to to_me me_in in_tron tron_maybe maybe_ill ill_dl dl_it it_in in_3d 3d_when when_its its_out,0,,[],0,safe,none,uc_irvine_sms_spam_collection,https://archive.ics.uci.edu/dataset/228/sms+spam+collection,downloadable_dataset,False,train,70,17,17,1,0,0,0
"all the lastest from Stereophonics, Marley, Dizzee Racal, Libertines and The Strokes! Win Nookii games with Flirt!! Click TheMob WAP Bookmark or text WAP to 82468",all the lastest from stereophonics marley dizzee racal libertines and the strokes win nookii games with flirt click themob wap bookmark or text wap to 82468,all the lastest from stereophonics marley dizzee racal libertines and the strokes win nookii games with flirt click themob wap bookmark or text wap to 82468 all_the the_lastest lastest_from from_stereophonics stereophonics_marley marley_dizzee dizzee_racal racal_libertines libertines_and and_the the_strokes strokes_win win_nookii nookii_games games_with with_flirt flirt_click click_themob themob_wap wap_bookmark bookmark_or or_text text_wap wap_to to_82468,0,,[],1,scam,general_scam,uc_irvine_sms_spam_collection,https://archive.ics.uci.edu/dataset/228/sms+spam+collection,downloadable_dataset,False,train,162,26,26,5,3,0,0
"Customer service announcement. We recently tried to make a delivery to you but were unable to do so, please call 07099833605 to re-schedule. Ref:9280114",customer service announcement we recently tried to make a delivery to you but were unable to do so please call phone_token to re schedule ref 9280114,customer service announcement we recently tried to make a delivery to you but were unable to do so please call phone_token to re schedule ref 9280114 customer_service service_announcement announcement_we we_recently recently_tried tried_to to_make make_a a_delivery delivery_to to_you you_but but_were were_unable unable_to to_do do_so so_please please_call call_phone_token phone_token_to to_re re_schedule schedule_ref ref_9280114,0,,[],1,scam,delivery_scam,uc_irvine_sms_spam_collection,https://archive.ics.uci.edu/dataset/228/sms+spam+collection,downloadable_dataset,False,train,152,24,26,18,0,0,1
Yetunde i'm in class can you not run water on it to make it ok. Pls now.,yetunde i'm in class can you not run water on it to make it ok pls now,yetunde i'm in class can you not run water on it to make it ok pls now yetunde_i'm i'm_in in_class class_can can_you you_not not_run run_water water_on on_it it_to to_make make_it it_ok ok_pls pls_now,0,,[],0,safe,none,uc_irvine_sms_spam_collection,https://archive.ics.uci.edu/dataset/228/sms+spam+collection,downloadable_dataset,False,train,72,17,17,0,0,0,0
Ok. There may be a free gym about.,ok there may be a free gym about,ok there may be a free gym about ok_there there_may may_be be_a a_free free_gym gym_about,0,,[],0,safe,none,uc_irvine_sms_spam_collection,https://archive.ics.uci.edu/dataset/228/sms+spam+collection,downloadable_dataset,False,train,34,8,8,0,0,0,0
"Free-message: Jamster!Get the crazy frog sound now! For poly text MAD1, for real text MAD2 to 88888. 6 crazy sounds for just 3 GBP/week! 16+only! T&C's apply",free message jamster get the crazy frog sound now for poly text mad1 for real text mad2 to 88888 6 crazy sounds for just 3 gbp week 16 only t c's apply,free message jamster get the crazy frog sound now for poly text mad1 for real text mad2 to 88888 6 crazy sounds for just 3 gbp week 16 only t c's apply free_message message_jamster jamster_get get_the the_crazy crazy_frog frog_sound sound_now now_for for_poly poly_text text_mad1 mad1_for for_real real_text text_mad2 mad2_to to_88888 88888_6 6_crazy crazy_sounds sounds_for for_just just_3 3_gbp gbp_week week_16 16_only only_t t_c's c's_apply,0,,[],1,scam,urgency,uc_irvine_sms_spam_collection,https://archive.ics.uci.edu/dataset/228/sms+spam+collection,downloadable_dataset,False,train,157,27,32,11,4,0,0
Please CALL 08712402779 immediately as there is an urgent message waiting for you,please call phone_token immediately as there is an urgent message waiting for you,please call phone_token immediately as there is an urgent message waiting for you please_call call_phone_token phone_token_immediately immediately_as as_there there_is is_an an_urgent urgent_message message_waiting waiting_for for_you,1,urgency,"[{""phrase_text"": ""urgent"", ""start_index"": 51, ""end_index"": 57, ""risk_category"": ""urgency"", ""risk_explanation"": ""This phrase creates pressure to act quickly.""}]",1,scam,urgency,uc_irvine_sms_spam_collection,https://archive.ics.uci.edu/dataset/228/sms+spam+collection,downloadable_dataset,False,train,81,13,13,11,0,0,1
Good afternoon starshine! How's my boytoy? Does he crave me yet? Ache to fuck me ? *sips cappuccino* I miss you babe *teasing kiss*,good afternoon starshine how's my boytoy does he crave me yet ache to fuck me sips cappuccino i miss you babe teasing kiss,good afternoon starshine how's my boytoy does he crave me yet ache to fuck me sips cappuccino i miss you babe teasing kiss good_afternoon afternoon_starshine starshine_how's how's_my my_boytoy boytoy_does does_he he_crave crave_me me_yet yet_ache ache_to to_fuck fuck_me me_sips sips_cappuccino cappuccino_i i_miss miss_you you_babe babe_teasing teasing_kiss,0,,[],0,safe,none,uc_irvine_sms_spam_collection,https://archive.ics.uci.edu/dataset/228/sms+spam+collection,downloadable_dataset,False,train,131,24,23,0,1,0,0
